Time [s],Channel 0,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6,Channel 7
25.858729583,0,1,0,0,1,1,0,1
25.858784750,0,0,0,0,1,1,0,1
25.858843125,0,1,0,0,1,1,0,1
25.858844542,1,1,0,0,1,1,0,1
25.858898292,1,0,0,0,1,1,0,1
25.858956167,1,0,0,0,1,0,0,1
25.858956708,1,1,0,0,1,0,0,1
25.858960625,0,1,0,0,1,0,0,1
25.859011833,0,0,0,0,1,0,0,1
25.859070250,0,1,0,0,1,0,0,1
25.859071667,1,1,0,0,1,0,0,1
25.859125417,1,0,0,0,1,0,0,1
25.859183792,1,1,0,0,1,0,0,1
25.859187750,0,1,0,0,1,0,0,1
25.859238958,0,0,0,0,1,0,0,1
25.859297375,0,1,0,0,1,0,0,1
25.859352500,0,0,0,0,1,0,0,1
25.859409417,0,0,0,0,1,1,0,1
25.859410917,0,1,0,0,1,1,0,1
25.859412333,1,1,0,0,1,1,0,1
25.859466083,1,0,0,0,1,1,0,1
25.860211333,1,0,0,1,1,1,0,1
25.860459458,1,0,0,0,1,1,0,1
25.860546458,1,1,0,0,1,1,0,1
25.860550375,0,1,0,0,1,1,0,1
25.860601625,0,0,0,0,1,1,0,1
25.860660000,0,1,0,0,1,1,0,1
25.860661417,1,1,0,0,1,1,0,1
25.860715167,1,0,0,0,1,1,0,1
25.860773542,1,1,0,0,1,1,0,1
25.860828708,1,0,0,0,1,1,0,1
25.860886583,1,0,0,0,1,0,0,1
25.860887125,1,1,0,0,1,0,0,1
25.860942250,1,0,0,0,1,0,0,1
25.861000667,1,1,0,0,1,0,0,1
25.861055833,1,0,0,0,1,0,0,1
25.861114208,1,1,0,0,1,0,0,1
25.861169375,1,0,0,0,1,0,0,1
25.861226250,1,0,0,0,1,1,0,1
25.861227750,1,1,0,0,1,1,0,1
25.861282917,1,0,0,0,1,1,0,1
25.861340833,1,0,0,0,1,0,0,1
25.861341333,1,1,0,0,1,0,0,1
25.861396500,1,0,0,0,1,0,0,1
25.861408292,1,0,0,0,1,1,0,1
25.861435917,1,0,0,1,1,1,0,1
25.861519708,1,0,0,0,1,1,0,1
25.861604792,1,0,0,0,1,0,0,1
25.861680458,1,0,0,0,1,1,0,1
25.861681958,1,1,0,0,1,1,0,1
25.861685917,0,1,0,0,1,1,0,1
25.861737125,0,0,0,0,1,1,0,1
25.861795042,0,0,0,0,1,0,0,1
25.861795542,0,1,0,0,1,0,0,1
25.861850708,0,0,0,0,1,0,0,1
25.861909083,0,1,0,0,1,0,0,1
25.861964250,0,0,0,0,1,0,0,1
25.862022667,0,1,0,0,1,0,0,1
25.862024083,1,1,0,0,1,0,0,1
25.862077792,1,0,0,0,1,0,0,1
25.862136208,1,1,0,0,1,0,0,1
25.862191375,1,0,0,0,1,0,0,1
25.862249750,1,1,0,0,1,0,0,1
25.862304917,1,0,0,0,1,0,0,1
25.862363292,1,1,0,0,1,0,0,1
25.862367208,0,1,0,0,1,0,0,1
25.862418458,0,0,0,0,1,0,0,1
25.862476875,0,1,0,0,1,0,0,1
25.862478292,1,1,0,0,1,0,0,1
25.862532000,1,0,0,0,1,0,0,1
25.862543000,1,0,0,0,1,1,0,1
25.862568375,1,0,0,1,1,1,0,1
25.862658792,1,0,0,0,1,1,0,1
25.862763042,1,0,0,0,1,0,0,1
25.862816000,1,0,0,0,1,1,0,1
25.862817500,1,1,0,0,1,1,0,1
25.862821417,0,1,0,0,1,1,0,1
25.862872667,0,0,0,0,1,1,0,1
25.862931083,0,1,0,0,1,1,0,1
25.862986250,0,0,0,0,1,1,0,1
25.863044125,0,0,0,0,1,0,0,1
25.863044625,0,1,0,0,1,0,0,1
25.863099792,0,0,0,0,1,0,0,1
25.863156667,0,0,0,0,1,1,0,1
25.863158167,0,1,0,0,1,1,0,1
25.863159583,1,1,0,0,1,1,0,1
25.863213333,1,0,0,0,1,1,0,1
25.863271208,1,0,0,0,1,0,0,1
25.863271750,1,1,0,0,1,0,0,1
25.863326875,1,0,0,0,1,0,0,1
25.863383792,1,0,0,0,1,1,0,1
25.863385292,1,1,0,0,1,1,0,1
25.863440458,1,0,0,0,1,1,0,1
25.863498833,1,1,0,0,1,1,0,1
25.863502750,0,1,0,0,1,1,0,1
25.863554000,0,0,0,0,1,1,0,1
25.863611875,0,0,0,0,1,0,0,1
25.863612417,0,1,0,0,1,0,0,1
25.863613833,1,1,0,0,1,0,0,1
25.863667542,1,0,0,0,1,0,0,1
25.863677708,1,0,0,0,1,1,0,1
25.863707458,1,0,0,1,1,1,0,1
25.863795042,1,0,0,0,1,1,0,1
25.863884375,1,0,0,0,1,0,0,1
25.863951542,1,0,0,0,1,1,0,1
25.863953042,1,1,0,0,1,1,0,1
25.863957000,0,1,0,0,1,1,0,1
25.864008208,0,0,0,0,1,1,0,1
25.864066625,0,1,0,0,1,1,0,1
25.864121792,0,0,0,0,1,1,0,1
25.864180167,0,1,0,0,1,1,0,1
25.864181583,1,1,0,0,1,1,0,1
25.864235333,1,0,0,0,1,1,0,1
25.864293208,1,0,0,0,1,0,0,1
25.864293750,1,1,0,0,1,0,0,1
25.864297625,0,1,0,0,1,0,0,1
25.864348875,0,0,0,0,1,0,0,1
25.864407292,0,1,0,0,1,0,0,1
25.864408708,1,1,0,0,1,0,0,1
25.864462417,1,0,0,0,1,0,0,1
25.864520833,1,1,0,0,1,0,0,1
25.864524750,0,1,0,0,1,0,0,1
25.864576000,0,0,0,0,1,0,0,1
25.864634375,0,1,0,0,1,0,0,1
25.864689542,0,0,0,0,1,0,0,1
25.864746417,0,0,0,0,1,1,0,1
25.864747917,0,1,0,0,1,1,0,1
25.864749333,1,1,0,0,1,1,0,1
25.864803083,1,0,0,0,1,1,0,1
25.864835125,1,0,0,1,1,1,0,1
25.865083250,1,0,0,0,1,1,0,1
25.865202167,1,1,0,0,1,1,0,1
25.865206083,0,1,0,0,1,1,0,1
25.865257292,0,0,0,0,1,1,0,1
25.865315708,0,1,0,0,1,1,0,1
25.865317125,1,1,0,0,1,1,0,1
25.865370875,1,0,0,0,1,1,0,1
25.865429250,1,1,0,0,1,1,0,1
